Annual Avg Yield,Annual Avg Min Temp,Annual Avg Max Temp,Total Accumulated Rain,Total Accumulated Radiation,Class,avg,std,num stds
1.225,1.420974834,13.38907371,2462.21,486945.56,0,1.452725263,0.429985311,-0.529611726
1.44,0.622666854,12.77145179,2699.04,415687.5,1,1.452725263,0.429985311,-0.029594645
1.226666667,0.622666854,12.77145179,2699.04,415687.5,0,1.452725263,0.429985311,-0.525735624
1.41,0.622666854,12.77145179,2699.04,415687.5,1,1.452725263,0.429985311,-0.09936447
1.343333333,0.622666854,12.77145179,2699.04,415687.5,1,1.452725263,0.429985311,-0.254408527
1.273333333,0.622666854,12.77145179,2699.04,415687.5,1,1.452725263,0.429985311,-0.417204786
1.506666667,0.622666854,12.77145179,2699.04,415687.5,1,1.452725263,0.429985311,0.125449412
1.61,0.622666854,12.77145179,2699.04,415687.5,1,1.452725263,0.429985311,0.365767698
1.53,0.622666854,12.77145179,2699.04,415687.5,1,1.452725263,0.429985311,0.179714831
1.163333333,0.622666854,12.77145179,2699.04,415687.5,0,1.452725263,0.429985311,-0.673027479
1.24,0.622666854,12.77145179,2699.04,415687.5,1,1.452725263,0.429985311,-0.494726813
1.6,3.061676727,16.83861649,2759.31,391732.39,1,1.452725263,0.429985311,0.34251109
1.62,3.061676727,16.83861649,2759.31,391732.39,1,1.452725263,0.429985311,0.389024307
1.65,3.061676727,16.83861649,2759.31,391732.39,1,1.452725263,0.429985311,0.458794132
1.786666667,3.061676727,16.83861649,2759.31,391732.39,2,1.452725263,0.429985311,0.776634448
1.53,3.061676727,16.83861649,2759.31,391732.39,1,1.452725263,0.429985311,0.179714831
1.663333333,3.061676727,16.83861649,2759.31,391732.39,1,1.452725263,0.429985311,0.489802942
1.69,3.061676727,16.83861649,2759.31,391732.39,2,1.452725263,0.429985311,0.551820566
1.573333333,3.061676727,16.83861649,2759.31,391732.39,1,1.452725263,0.429985311,0.280493467
1.643333333,3.061676727,16.83861649,2759.31,391732.39,1,1.452725263,0.429985311,0.443289726
1.72,3.061676727,16.83861649,2759.31,391732.39,2,1.452725263,0.429985311,0.621590391
1.663333333,3.061676727,16.83861649,2759.31,391732.39,1,1.452725263,0.429985311,0.489802942
1.666666667,3.061676727,16.83861649,2759.31,391732.39,1,1.452725263,0.429985311,0.497555147
1.673333333,3.061676727,16.83861649,2759.31,391732.39,2,1.452725263,0.429985311,0.513059551
1.566666667,3.061676727,16.83861649,2759.31,391732.39,1,1.452725263,0.429985311,0.264989063
1.633333333,3.061676727,16.83861649,2759.31,391732.39,1,1.452725263,0.429985311,0.420033117
1.1875,3.128596379,15.73769708,2854.01,567693.2,0,1.452725263,0.429985311,-0.616824008
1.0625,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.907531613
1.1425,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.721478745
1.145,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.715664593
1.0975,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.826133483
1.1425,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.721478745
1.09,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.84357594
1.105,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.808691027
0.9975,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-1.058699568
1.175,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.645894768
1.09,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.84357594
1.15,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.704036289
1.175,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.645894768
1.0525,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.930788221
1.1025,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.814505179
1.1575,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.686593833
1.145,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.715664593
1.15,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.704036289
1.1125,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.791248571
1.065,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.901717461
1.1775,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.640080616
1.0825,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.861018396
1.0975,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.826133483
1.0925,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.837761788
1.1775,3.310964275,15.92845371,2899.39,580373.55,0,1.452725263,0.429985311,-0.640080616
